"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,4,1,1,0,3,0,2,0,0,1,1,0,NA,NA,"05/04/2020"
"CHLEF",2,18,3,1,0,17,0,1,0,0,0,0,0,1,NA,"05/04/2020"
"LAGHOUAT",3,2,1,0,0,2,0,1,0,0,0,0,1,NA,NA,"05/04/2020"
"OUM EL BOUAGHI",4,9,2,2,0,7,2,0,0,0,0,1,0,1,NA,"05/04/2020"
"BATNA",5,14,0,2,0,12,4,3,0,0,0,0,2,1,2,"05/04/2020"
"BEJAIA",6,56,5,2,1,53,2,3,0,0,0,2,1,1,NA,"05/04/2020"
"BISKRA",7,6,0,1,2,3,0,1,0,0,0,0,0,1,NA,"05/04/2020"
"BECHAR",8,6,5,0,0,6,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"BLIDA",9,456,9,40,32,356,180,205,0,7,11,135,74,142,16,"05/04/2020"
"BOUIRA",10,11,1,0,0,10,2,1,0,0,0,0,2,1,NA,"05/04/2020"
"TAMENGHASSET",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"TEBESSA",12,5,2,2,0,3,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"TLEMCEN",13,35,3,2,0,33,2,5,0,0,0,1,2,2,1,"05/04/2020"
"TIARET",14,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"TIZI OUZOU",15,41,1,6,2,33,16,24,0,0,2,13,3,21,NA,"05/04/2020"
"ALGER",16,220,13,38,11,171,61,93,0,1,0,51,37,59,6,"05/04/2020"
"DJELFA",17,11,0,1,0,10,1,0,0,0,0,0,0,1,NA,"05/04/2020"
"JIJEL",18,17,0,0,0,17,1,1,0,0,0,0,1,1,NA,"05/04/2020"
"SETIF",19,50,3,7,2,41,3,4,0,0,1,1,2,1,NA,"05/04/2020"
"SAIDA",20,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"SKIKDA",21,17,0,0,3,14,3,3,0,0,0,1,1,1,1,"05/04/2020"
"SIDI BEL ABBES",22,10,0,0,0,10,1,1,0,0,0,0,1,1,NA,"05/04/2020"
"ANNABA",23,9,0,1,3,5,2,4,0,0,1,0,1,1,1,"05/04/2020"
"GUELMA",24,3,0,0,0,2,1,1,0,0,0,0,0,1,NA,"05/04/2020"
"CONSTANTINE",25,17,0,3,0,14,2,1,0,0,0,0,0,2,1,"05/04/2020"
"MEDEA",26,26,1,8,1,17,2,3,0,0,0,1,1,1,1,"05/04/2020"
"MOSTAGANEM",27,21,0,1,0,20,2,1,0,0,0,1,1,NA,NA,"05/04/2020"
"M'SILA",28,3,1,2,0,1,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"MASCARA",29,15,0,0,2,13,2,1,0,0,0,0,1,1,NA,"05/04/2020"
"OUARGLA",30,3,1,0,1,2,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"ORAN",31,74,9,3,0,71,22,40,0,0,7,24,12,17,2,"05/04/2020"
"EL BAYADH",32,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"ILLIZI",33,2,1,0,0,2,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"BORDJ BOU ARRERIDJ",34,27,2,5,0,22,2,4,0,0,1,2,0,2,NA,"05/04/2020"
"BOUMERDES",35,16,0,3,1,12,2,2,0,0,1,1,0,1,1,"05/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"05/04/2020"
"TINDOUF",37,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"TISSEMSILT",38,2,0,0,1,1,0,1,0,0,0,0,1,NA,NA,"05/04/2020"
"EL OUED",39,16,0,3,0,13,2,3,0,0,0,0,2,1,1,"05/04/2020"
"KHENCHELA",40,3,0,1,0,2,0,2,0,0,0,0,0,1,1,"05/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"05/04/2020"
"TIPAZA",42,36,2,5,0,31,3,6,0,0,1,2,2,2,1,"05/04/2020"
"MILA",43,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"AIN DEFLA",44,28,0,5,0,23,0,2,0,0,0,0,1,NA,NA,"05/04/2020"
"NAAMA",45,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"05/04/2020"
"AIN-TEMOUCHENT",46,8,1,2,0,6,0,1,0,0,0,0,0,1,NA,"05/04/2020"
"GHARDAIA",47,2,0,1,0,1,0,1,0,0,0,0,1,NA,NA,"05/04/2020"
"RELIZANE",48,9,2,2,0,7,0,1,0,0,0,0,1,0,NA,"05/04/2020"
