"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,40,0,2,0,38,0,2,0,0,1,1,0,NA,NA,"01/05/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"01/05/2020"
"LAGHOUAT",3,30,3,0,0,30,0,1,0,0,0,0,1,NA,NA,"01/05/2020"
"OUM EL BOUAGHI",4,75,0,5,0,70,2,0,0,0,0,1,0,1,NA,"01/05/2020"
"BATNA",5,35,0,4,0,31,4,3,0,0,0,0,2,1,2,"01/05/2020"
"BEJAIA",6,134,3,14,1,119,2,3,0,0,0,2,1,1,NA,"01/05/2020"
"BISKRA",7,60,2,6,2,52,0,1,0,0,0,0,0,1,NA,"01/05/2020"
"BECHAR",8,42,0,0,0,42,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"BLIDA",9,820,10,107,32,681,180,205,0,7,11,135,74,142,16,"01/05/2020"
"BOUIRA",10,28,1,3,0,25,2,1,0,0,0,0,2,1,NA,"01/05/2020"
"TAMENGHASSET",11,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TEBESSA",12,33,0,3,0,30,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TLEMCEN",13,99,0,6,0,93,2,5,0,0,0,1,2,2,1,"01/05/2020"
"TIARET",14,81,0,5,0,76,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TIZI OUZOU",15,105,0,15,2,88,16,24,0,0,2,13,3,21,NA,"01/05/2020"
"ALGER",16,533,16,109,11,413,61,93,0,1,0,51,37,59,6,"01/05/2020"
"DJELFA",17,63,4,5,0,57,1,0,0,0,0,0,0,1,NA,"01/05/2020"
"JIJEL",18,46,0,5,0,41,1,1,0,0,0,0,1,1,NA,"01/05/2020"
"SETIF",19,211,2,16,2,193,3,4,0,0,1,1,2,1,NA,"01/05/2020"
"SAIDA",20,5,0,0,0,5,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"SKIKDA",21,51,3,4,3,44,3,3,0,0,0,1,1,1,1,"01/05/2020"
"SIDI BEL ABBES",22,50,0,6,0,44,1,1,0,0,0,0,1,1,NA,"01/05/2020"
"ANNABA",23,67,0,4,3,60,2,4,0,0,1,0,1,1,1,"01/05/2020"
"GUELMA",24,24,1,1,0,23,1,1,0,0,0,0,0,1,NA,"01/05/2020"
"CONSTANTINE",25,185,4,10,0,175,2,1,0,0,0,0,0,2,1,"01/05/2020"
"MEDEA",26,79,7,10,1,68,2,3,0,0,0,1,1,1,1,"01/05/2020"
"MOSTAGANEM",27,60,0,3,0,57,2,1,0,0,0,1,1,NA,NA,"01/05/2020"
"M'SILA",28,22,0,7,0,15,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"MASCARA",29,51,2,4,2,45,2,1,0,0,0,0,1,1,NA,"01/05/2020"
"OUARGLA",30,67,0,7,1,59,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"ORAN",31,254,8,13,0,241,22,40,0,0,7,24,12,17,2,"01/05/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"BORDJ BOU ARRERIDJ",34,150,41,22,0,128,2,4,0,0,1,2,0,2,NA,"01/05/2020"
"BOUMERDES",35,51,1,8,1,42,2,2,0,0,1,1,0,1,1,"01/05/2020"
"EL-TARF",36,16,0,0,0,16,0,2,0,0,0,0,1,1,NA,"01/05/2020"
"TINDOUF",37,9,3,0,0,9,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TISSEMSILT",38,46,0,2,1,43,0,1,0,0,0,0,1,NA,NA,"01/05/2020"
"EL OUED",39,40,1,8,0,32,2,3,0,0,0,0,2,1,1,"01/05/2020"
"KHENCHELA",40,39,0,2,0,37,0,2,0,0,0,0,0,1,1,"01/05/2020"
"SOUK-AHRAS",41,15,0,1,0,14,1,1,0,0,0,1,0,1,NA,"01/05/2020"
"TIPAZA",42,161,18,24,0,137,3,6,0,0,1,2,2,2,1,"01/05/2020"
"MILA",43,16,0,1,0,15,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"AIN DEFLA",44,205,8,5,0,200,0,2,0,0,0,0,1,NA,NA,"01/05/2020"
"NAAMA",45,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"AIN-TEMOUCHENT",46,44,1,4,0,40,0,1,0,0,0,0,0,1,NA,"01/05/2020"
"GHARDAIA",47,60,0,4,0,56,0,1,0,0,0,0,1,NA,NA,"01/05/2020"
"RELIZANE",48,33,2,3,0,30,0,1,0,0,0,0,1,0,NA,"01/05/2020"
